Date,Price,Open,High,Low,Vol.,Change %
2/26/25,2481.15,2496.06,2507.13,2472.58,990.21K,-0.60%
2/25/25,2496.06,2511.04,2533.18,2339.46,1.44M,-0.59%
2/24/25,2510.94,2819.69,2838.22,2493.73,959.09K,-10.95%
2/23/25,2819.69,2763.23,2837.98,2745.96,655.96K,2.04%
2/22/25,2763.23,2662.35,2795.29,2654.73,485.01K,3.79%
2/21/25,2662.35,2738.05,2841.56,2619.06,974.36K,-2.76%
2/20/25,2738.03,2716.16,2767.27,2707.50,372.95K,0.81%
2/19/25,2716.16,2671.36,2735.99,2657.15,362.40K,1.68%
2/18/25,2671.36,2743.55,2754.43,2610.47,648.95K,-2.63%
2/17/25,2743.47,2662.78,2845.96,2647.51,696.20K,3.03%
2/16/25,2662.80,2693.04,2724.22,2656.73,207.06K,-1.14%
2/15/25,2693.40,2725.51,2738.17,2675.51,216.63K,-1.18%
2/14/25,2725.51,2675.33,2789.23,2665.51,466.76K,1.88%
2/13/25,2675.30,2737.86,2756.21,2617.39,496.62K,-2.22%
2/12/25,2735.91,2603.11,2789.88,2553.50,689.45K,5.10%
2/11/25,2603.11,2661.00,2724.50,2579.93,521.35K,-2.18%
2/10/25,2661.00,2628.27,2691.62,2563.27,425.46K,1.24%
2/9/25,2628.27,2631.61,2681.93,2534.86,423.07K,-0.12%
2/8/25,2631.56,2622.81,2666.86,2590.08,403.82K,0.33%
2/7/25,2622.81,2688.28,2797.10,2564.79,745.29K,-2.44%
2/6/25,2688.28,2785.69,2854.27,2666.71,772.85K,-3.49%
2/5/25,2785.62,2731.76,2822.55,2702.34,731.42K,1.97%
2/4/25,2731.76,2881.91,2884.91,2636.03,1.33M,-5.21%
2/3/25,2881.90,2869.72,2904.34,2261.27,3.00M,0.42%
2/2/25,2869.75,3116.44,3163.03,2788.75,1.17M,-8.00%
2/1/25,3119.13,3298.69,3331.28,3102.98,377.66K,-5.44%
1/31/25,3298.69,3247.22,3434.27,3214.07,700.31K,1.59%
1/30/25,3247.22,3113.26,3281.91,3093.23,386.53K,4.30%
1/29/25,3113.26,3077.78,3171.08,3055.53,449.52K,1.15%
1/28/25,3077.83,3182.86,3222.96,3041.05,386.37K,-3.20%
1/27/25,3179.47,3234.11,3253.00,3030.68,819.62K,-1.69%
1/26/25,3234.18,3318.14,3359.15,3234.07,288.83K,-2.53%
1/25/25,3318.14,3311.05,3350.22,3272.14,225.91K,0.21%
1/24/25,3311.05,3338.42,3423.71,3276.30,497.87K,-0.82%
1/23/25,3338.37,3242.60,3344.36,3189.50,672.00K,2.95%
1/22/25,3242.60,3327.55,3365.53,3223.17,373.50K,-2.57%
1/21/25,3328.30,3282.74,3364.90,3204.77,597.36K,1.39%
1/20/25,3282.68,3216.67,3449.78,3150.35,1.26M,2.05%
1/19/25,3216.74,3308.73,3445.65,3133.37,1.44M,-2.78%
1/18/25,3308.74,3472.84,3493.38,3233.53,677.72K,-4.73%
1/17/25,3472.84,3307.10,3524.96,3307.10,574.06K,5.01%
1/16/25,3307.00,3450.79,3459.88,3267.48,536.74K,-4.17%
1/15/25,3450.79,3224.16,3469.81,3187.66,527.11K,7.03%
1/14/25,3224.06,3137.77,3254.32,3127.34,413.87K,2.75%
1/13/25,3137.73,3267.52,3337.90,2943.61,952.50K,-3.97%
1/12/25,3267.30,3282.89,3299.65,3225.06,187.61K,-0.50%
1/11/25,3283.57,3267.08,3319.41,3219.02,170.84K,0.50%
1/10/25,3267.08,3218.15,3320.94,3197.86,500.73K,1.52%
1/9/25,3218.15,3327.14,3356.69,3160.67,543.60K,-3.28%
1/8/25,3327.14,3380.50,3414.89,3218.35,638.46K,-1.58%
1/7/25,3380.56,3687.71,3700.71,3358.95,589.56K,-8.33%
1/6/25,3687.75,3635.11,3742.07,3611.01,364.63K,1.45%
1/5/25,3635.11,3656.94,3672.41,3596.63,170.02K,-0.57%
1/4/25,3656.13,3608.79,3669.62,3574.98,249.81K,1.31%
1/3/25,3608.79,3455.21,3626.10,3424.79,367.78K,4.45%
1/2/25,3455.19,3360.14,3494.60,3355.49,362.32K,2.83%
1/1/25,3360.14,3337.80,3373.11,3315.98,209.22K,0.67%
12/31/24,3337.80,3361.99,3449.27,3317.39,333.44K,-0.72%
12/30/24,3361.99,3355.97,3436.83,3306.11,494.99K,0.18%
12/29/24,3355.97,3404.53,3412.32,3327.45,176.43K,-1.43%
12/28/24,3404.59,3334.23,3427.65,3322.42,196.38K,2.11%
12/27/24,3334.19,3335.96,3438.85,3309.03,378.00K,-0.05%
12/26/24,3335.96,3496.50,3512.77,3305.53,360.40K,-4.59%
12/25/24,3496.49,3493.33,3546.29,3442.61,259.25K,0.09%
12/24/24,3493.31,3422.01,3539.54,3359.77,352.36K,2.08%
12/23/24,3422.01,3281.58,3463.58,3220.10,547.74K,4.28%
12/22/24,3281.58,3338.72,3401.96,3223.39,400.57K,-1.71%
12/21/24,3338.66,3474.05,3555.05,3294.00,521.99K,-3.90%
12/20/24,3474.01,3418.83,3496.35,3103.72,1.45M,1.61%
